Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Trouser,Trouser,1.0
Sports,Sports,1.0
Bat,Bat,1.0
Sports,Sports,1.0
Football,Football,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Trouser,Trouser,1.0
Clothing,Clothing,1.0
T-shirt,T-shirt,1.0
Grocery,Grocery,1.0
Masala oats,Masala oats,1.0
Grocery,Grocery,1.0
Oil,Oil,1.0
Grocery,Grocery,1.0
Washing Powder,Washing Powder,1.0
Grocery,Grocery,1.0
Cashew,Cashew,1.0
Grocery,Grocery,1.0
Maggi,Maggi,1.0
Grocery,Grocery,1.0
Bathing Soap,Bathing Soap,1.0
Grocery,Grocery,1.0
Rice,Rice,1.0
Grocery,Grocery,1.0
Pulse,Pulse,1.0
Grocery,Grocery,1.0
Pulse,Pulse,1.0
Grocery,Grocery,1.0
Pulse,Pulse,1.0
Grocery,Grocery,1.0
Rice,Rice,1.0
Shoes,Shoes,1.0
Sandal,Sandal,1.0
Shoes,Shoes,1.0
Sandal,Sandal,1.0
Shoes,Shoes,1.0
sleeper,sleeper,1.0
Shoes,Shoes,1.0
slides,slides,1.0
Shoes,Shoes,1.0
slides,slides,1.0
Shoes,Shoes,1.0
Shoes,Shoes,1.0
Shoes,Shoes,1.0
Shoes,Shoes,1.0
Electronics,Electronics,1.0
Headphones,Headphones,1.0
Clothing,Clothing,1.0
T-shirt,T-shirt,1.0
Clothing,Clothing,1.0
Pants,Pants,1.0
Electronics,Electronics,1.0
Smart Watch,Smart Watch,1.0
Electronics,Electronics,1.0
Computer,Computer,1.0
b,b,1.0
c,c,1.0
Electronics,Electronics,1.0
Televisions,Televisions,1.0
Electronics,Electronics,1.0
Speakers,Speakers,1.0
Electronics,Electronics,1.0
Speakers,Speakers,1.0
Electronics,Electronics,1.0
Televisions,Televisions,1.0
Electronics,Electronics,1.0
Televisions,Televisions,1.0
Electronics,Electronics,1.0
Televisions,Televisions,1.0
Electronics,Electronics,1.0
Speakers,Speakers,1.0
Electronics,Electronics,1.0
Speakers,Speakers,1.0
Electronics,Electronics,1.0
Headphones,Headphones,1.0
Electronics,Electronics,1.0
Headphones,Headphones,1.0
Electronics,Electronics,1.0
Headphones,Headphones,1.0
Electronics,Electronics,1.0
Smart Watch,Smart Watch,1.0
Electronics,Electronics,1.0
Smart Watch,Smart Watch,1.0
Electronics,Electronics,1.0
Smart Watch,Smart Watch,1.0
Clothing,Clothing,1.0
Pants,Pants,1.0
Clothing,Clothing,1.0
Pants,Pants,1.0
Clothing,Clothing,1.0
Pants,Pants,1.0
Clothing,Clothing,1.0
T-shirt,T-shirt,1.0
Clothing,Clothing,1.0
T-shirt,T-shirt,1.0
Clothing,Clothing,1.0
T-shirt,T-shirt,1.0
Clothing,Clothing,1.0
Shirts,Shirts,1.0
Clothing,Clothing,1.0
Shirts,Shirts,1.0
Clothing,Clothing,1.0
Trouser,Trouser,1.0
Grocery,Grocery,1.0
ketchup,ketchup,1.0
Grocery,Grocery,1.0
ketchup,ketchup,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Trouser,Trouser,1.0
Sports,Sports,1.0
Bat,Bat,1.0
Sports,Sports,1.0
Football,Football,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Hoodie,Hoodie,1.0
Clothing,Clothing,1.0
Trouser,Trouser,1.0
Clothing,Clothing,1.0
T-shirt,T-shirt,1.0
Grocery,Grocery,1.0
Masala oats,Masala oats,1.0
Grocery,Grocery,1.0
Oil,Oil,1.0
Grocery,Grocery,1.0
Washing Powder,Washing Powder,1.0
Grocery,Grocery,1.0
Cashew,Cashew,1.0
Grocery,Grocery,1.0
Maggi,Maggi,1.0
Grocery,Grocery,1.0
Bathing Soap,Bathing Soap,1.0
Grocery,Grocery,1.0
Rice,Rice,1.0
Grocery,Grocery,1.0
Pulse,Pulse,1.0
Grocery,Grocery,1.0
Pulse,Pulse,1.0
Grocery,Grocery,1.0
Pulse,Pulse,1.0
Grocery,Grocery,1.0
Rice,Rice,1.0
Shoes,Shoes,1.0
Sandal,Sandal,1.0
Shoes,Shoes,1.0
Sandal,Sandal,1.0
Shoes,Shoes,1.0
sleeper,sleeper,1.0
Shoes,Shoes,1.0
slides,slides,1.0
Shoes,Shoes,1.0
slides,slides,1.0
Shoes,Shoes,1.0
Shoes,Shoes,1.0
Shoes,Shoes,1.0
Shoes,Shoes,1.0
Electronics,Electronics,1.0
Headphones,Headphones,1.0
